"","Treatment","value","test","site"
"18324","Prairie Strips",31.6117216117216,"NODF","sme"
"18325","Prairie Strips",27.3809523809524,"NODF","smi"
"18326","Prairie Strips",0,"NODF","smi"
"18327","Prairie Strips",28.5,"NODF","sto"
"18328","Prairie Strips",0,"NODF","sto"
"18329","Prairie Strips",34.2982456140351,"NODF","who"
"18330","Prairie Strips",41.2280701754386,"NODF","who"
"18331","Prairie Strips",12.9032258064516,"NODF","gut"
"18332","Prairie Strips",18.4931506849315,"NODF","gut"
"18333","Prairie Strips",19.3548387096774,"NODF","sme"
"18334","Prairie Strips",39.917695473251,"NODF","sme"
"18335","Prairie Strips",50.078125,"NODF","smi"
"18336","Prairie Strips",31.3888888888889,"NODF","smi"
"18337","Prairie Strips",12.5,"NODF","sto"
"18338","Prairie Strips",21.7391304347826,"NODF","sto"
"18339","Prairie Strips",20,"NODF","who"
"18340","Prairie Strips",31.3186813186813,"NODF","who"
"18341","Prairie Strips",57.3099415204678,"NODF","gut"
"18342","Prairie Strips",25.5102040816327,"NODF","gut"
"18343","Prairie Strips",40.625,"NODF","sme"
"18344","Prairie Strips",38.3771929824561,"NODF","sme"
"18345","Prairie Strips",37.570281124498,"NODF","smi"
"18346","Prairie Strips",21.0526315789474,"NODF","smi"
"18347","Prairie Strips",26.3157894736842,"NODF","sto"
"18348","Prairie Strips",49.6,"NODF","sto"
"18349","Prairie Strips",37.3456790123457,"NODF","who"
"18350","Prairie Strips",42.1052631578947,"NODF","who"
"18351","Prairie Strips",37.5,"NODF","gut"
"18352","Prairie Strips",0,"NODF","gut"
"18353","Prairie Strips",41.5789473684211,"NODF","sme"
"18354","Prairie Strips",22.093023255814,"NODF","sme"
"18355","Prairie Strips",27.7777777777778,"NODF","smi"
"18356","Prairie Strips",53.7698412698413,"NODF","smi"
"18357","Prairie Strips",26.4184397163121,"NODF","sto"
"18358","Prairie Strips",39.5348837209302,"NODF","sto"
"18359","Prairie Strips",52.7777777777778,"NODF","who"
"18360","Prairie Strips",15.1162790697674,"NODF","who"
"18361","Prairie Strips",24.4897959183673,"NODF","gut"
"18362","Prairie Strips",33.4166666666667,"NODF","gut"
"18363","Prairie Strips",38.0952380952381,"NODF","sme"
"18364","Prairie Strips",20,"NODF","sme"
"18365","Prairie Strips",40.1041666666667,"NODF","smi"
"18366","Prairie Strips",18.75,"NODF","smi"
"18367","Prairie Strips",36.25,"NODF","sto"
"18368","Prairie Strips",28.6666666666667,"NODF","sto"
"18369","Prairie Strips",33.1275720164609,"NODF","who"
"18370","Prairie Strips",56.0185185185185,"NODF","who"
"18371","Prairie Strips",25,"NODF","gut"
"18372","Prairie Strips",30.9523809523809,"NODF","gut"
"18373","Prairie Strips",44.238683127572,"NODF","sme"
"18374","Prairie Strips",36.5079365079365,"NODF","sme"
"18375","Prairie Strips",41.6666666666667,"NODF","smi"
"18376","Prairie Strips",20.5729166666667,"NODF","smi"
"18377","Prairie Strips",34.8837209302326,"NODF","sto"
"18378","Prairie Strips",25.1315789473684,"NODF","sto"
"18379","Prairie Strips",45.1515151515151,"NODF","who"
"18380","Prairie Strips",26.9406392694064,"NODF","who"
"18381","Prairie Strips",40.3645833333333,"NODF","gut"
"18382","Prairie Strips",34.9702380952381,"NODF","gut"
"18383","Prairie Strips",51.5166666666667,"NODF","sme"
"18384","Prairie Strips",30.3030303030303,"NODF","sme"
"18385","Prairie Strips",27.6748971193416,"NODF","smi"
"18386","Prairie Strips",38.3720930232558,"NODF","smi"
"18387","Prairie Strips",41.9354838709677,"NODF","sto"
"18388","Prairie Strips",27.5193798449612,"NODF","sto"
"18389","Prairie Strips",19.0763052208835,"NODF","who"
"18390","Prairie Strips",33.3333333333333,"NODF","who"
"18391","Prairie Strips",31.25,"NODF","gut"
"18392","Prairie Strips",49.0476190476191,"NODF","gut"
"18393","Prairie Strips",36.2244897959184,"NODF","sme"
"18394","Prairie Strips",10,"NODF","sme"
"18395","Prairie Strips",24.8717948717949,"NODF","smi"
"18396","Prairie Strips",38.477366255144,"NODF","smi"
"18397","Prairie Strips",43.9542483660131,"NODF","sto"
"18398","Prairie Strips",31.3636363636364,"NODF","sto"
"18399","Prairie Strips",45.7971014492754,"NODF","who"
"18400","Prairie Strips",25.7028112449799,"NODF","who"
"18401","Prairie Strips",27.5100401606426,"NODF","gut"
"18402","Prairie Strips",27.2222222222222,"NODF","gut"
"18403","Prairie Strips",15.625,"NODF","sme"
"18404","Prairie Strips",30.050505050505,"NODF","sme"
"18405","Prairie Strips",24.4444444444444,"NODF","smi"
"18406","Prairie Strips",45.9677419354839,"NODF","smi"
"18407","Prairie Strips",30.7305936073059,"NODF","sto"
"18408","Prairie Strips",30,"NODF","sto"
"18409","Prairie Strips",22.3684210526316,"NODF","who"
"18410","Prairie Strips",33.6666666666667,"NODF","who"
"18411","Prairie Strips",31.5018315018315,"NODF","gut"
"18412","Prairie Strips",47.9452054794521,"NODF","gut"
"18413","Prairie Strips",50.7175925925926,"NODF","sme"
"18414","Prairie Strips",48.1313131313131,"NODF","sme"
"18415","Prairie Strips",45,"NODF","smi"
"18416","Prairie Strips",47.9452054794521,"NODF","smi"
"18417","Prairie Strips",0,"NODF","sto"
"18418","Prairie Strips",13.0952380952381,"NODF","sto"
"18419","Prairie Strips",18.3673469387755,"NODF","who"
"18420","Prairie Strips",41.9642857142857,"NODF","who"
"18421","Prairie Strips",43.4538152610442,"NODF","gut"
"18422","Prairie Strips",24,"NODF","gut"
"18423","Prairie Strips",16.6666666666667,"NODF","sme"
"18424","Prairie Strips",36.5740740740741,"NODF","sme"
"18425","Prairie Strips",33.7037037037037,"NODF","smi"
"18426","Prairie Strips",56.0699588477366,"NODF","smi"
"18427","Prairie Strips",38.0116959064328,"NODF","sto"
"18428","Prairie Strips",59.9739583333333,"NODF","sto"
"18429","Prairie Strips",17.5,"NODF","who"
"18430","Prairie Strips",38.8888888888889,"NODF","who"
"18431","Prairie Strips",37.5,"NODF","gut"
"18432","Prairie Strips",18.3006535947712,"NODF","gut"
"18433","Prairie Strips",23.0263157894737,"NODF","sme"
"18434","Prairie Strips",24.702380952381,"NODF","sme"
"18435","Prairie Strips",33.7719298245614,"NODF","smi"
"18436","Prairie Strips",22.7272727272727,"NODF","smi"
"18437","Prairie Strips",41.7283950617284,"NODF","sto"
"18438","Prairie Strips",45,"NODF","sto"
"18439","Prairie Strips",38.3720930232558,"NODF","who"
"18440","Prairie Strips",14.8148148148148,"NODF","who"
"18441","Prairie Strips",44.0476190476191,"NODF","gut"
"18442","Prairie Strips",41.7808219178082,"NODF","gut"
"18443","Prairie Strips",44.3798449612403,"NODF","sme"
"18444","Prairie Strips",37.5968992248062,"NODF","sme"
"18445","Prairie Strips",31.9444444444444,"NODF","smi"
"18446","Prairie Strips",15.4970760233918,"NODF","smi"
"18447","Prairie Strips",41.358024691358,"NODF","sto"
"18448","Prairie Strips",24.1496598639456,"NODF","sto"
"18449","Prairie Strips",44.750098386462,"NODF","who"
"18450","Prairie Strips",15,"NODF","who"
"18451","Prairie Strips",24.8366013071895,"NODF","gut"
"18452","Prairie Strips",9.25925925925926,"NODF","gut"
"18453","Prairie Strips",42.2374429223744,"NODF","sme"
"18454","Prairie Strips",16,"NODF","sme"
"18455","Prairie Strips",41.4814814814815,"NODF","smi"
"18456","Prairie Strips",52.891156462585,"NODF","smi"
"18457","Prairie Strips",20.2898550724638,"NODF","sto"
"18458","Prairie Strips",14.2857142857143,"NODF","sto"
"18459","Prairie Strips",46.875,"NODF","who"
"18460","Prairie Strips",28.3950617283951,"NODF","who"
"18461","Prairie Strips",41.40625,"NODF","gut"
"18462","Prairie Strips",35.2380952380952,"NODF","gut"
"18463","Prairie Strips",39.4557823129252,"NODF","sme"
"18464","Prairie Strips",32.051282051282,"NODF","sme"
"18465","Prairie Strips",10,"NODF","smi"
"18466","Prairie Strips",41.1616161616162,"NODF","smi"
"18467","Prairie Strips",23.7179487179487,"NODF","sto"
"18468","Prairie Strips",22.8682170542636,"NODF","sto"
"18469","Prairie Strips",21.6666666666667,"NODF","who"
"18470","Prairie Strips",16.6666666666667,"NODF","who"
"18471","Prairie Strips",40.9803921568627,"NODF","gut"
"18472","Prairie Strips",20,"NODF","gut"
"18473","Prairie Strips",36.3095238095238,"NODF","sme"
"18474","Prairie Strips",63.4259259259259,"NODF","sme"
"18475","Prairie Strips",36.7647058823529,"NODF","smi"
"18476","Prairie Strips",26.1316872427984,"NODF","smi"
"18477","Prairie Strips",35.0877192982456,"NODF","sto"
"18478","Prairie Strips",31.547619047619,"NODF","sto"
"18479","Prairie Strips",37.1978021978022,"NODF","who"
"18480","Prairie Strips",35.9649122807018,"NODF","who"
"18481","Prairie Strips",41.40625,"NODF","gut"
"18482","Prairie Strips",39.7959183673469,"NODF","gut"
"18483","Prairie Strips",26.0606060606061,"NODF","sme"
"18484","Prairie Strips",41.1764705882353,"NODF","sme"
"18485","Prairie Strips",49.4891774891775,"NODF","smi"
"18486","Prairie Strips",41.4141414141414,"NODF","smi"
"18487","Prairie Strips",21.0526315789474,"NODF","sto"
"18488","Prairie Strips",33.6257309941521,"NODF","sto"
"18489","Prairie Strips",74.4805194805195,"NODF","who"
"18490","Prairie Strips",41.40625,"NODF","who"
"18491","Prairie Strips",17.1052631578947,"NODF","gut"
"18492","Prairie Strips",7.40740740740741,"NODF","gut"
"18493","Prairie Strips",39.041095890411,"NODF","sme"
"18494","Prairie Strips",34.6938775510204,"NODF","sme"
"18495","Prairie Strips",42.9887218045113,"NODF","smi"
"18496","Prairie Strips",32.8125,"NODF","smi"
"18497","Prairie Strips",17.5,"NODF","sto"
"18498","Prairie Strips",6.81818181818182,"NODF","sto"
"18499","Prairie Strips",63.030303030303,"NODF","who"
"18500","Prairie Strips",34.156378600823,"NODF","who"
"18501","Prairie Strips",44.53125,"NODF","gut"
"18502","Prairie Strips",17.6470588235294,"NODF","gut"
"18503","Prairie Strips",32.5,"NODF","sme"
"18504","Prairie Strips",39.8039215686275,"NODF","sme"
"18505","Prairie Strips",6.57894736842105,"NODF","smi"
"18506","Prairie Strips",16,"NODF","smi"
"18507","Prairie Strips",38.7751004016064,"NODF","sto"
"18508","Prairie Strips",26.4393939393939,"NODF","sto"
"18509","Prairie Strips",20,"NODF","who"
"18510","Prairie Strips",33.3333333333333,"NODF","who"
"18511","Prairie Strips",37,"NODF","gut"
"18512","Prairie Strips",53.2407407407407,"NODF","gut"
"18513","Prairie Strips",32.3529411764706,"NODF","sme"
"18514","Prairie Strips",16,"NODF","sme"
"18515","Prairie Strips",0,"NODF","smi"
"18516","Prairie Strips",37.037037037037,"NODF","smi"
"18517","Prairie Strips",22.1428571428571,"NODF","sto"
"18518","Prairie Strips",25,"NODF","sto"
"18519","Prairie Strips",49.3197278911565,"NODF","who"
"18520","Prairie Strips",24.3589743589744,"NODF","who"
"18521","Prairie Strips",43.2098765432099,"NODF","gut"
"18522","Prairie Strips",44.8353909465021,"NODF","gut"
"18523","Prairie Strips",30.952380952381,"NODF","sme"
"18524","Prairie Strips",11.6666666666667,"NODF","sme"
"18525","Prairie Strips",26.3157894736842,"NODF","smi"
"18526","Prairie Strips",42.7083333333333,"NODF","smi"
"18527","Prairie Strips",48.0952380952381,"NODF","sto"
"18528","Prairie Strips",60.703125,"NODF","sto"
"18529","Prairie Strips",15.2173913043478,"NODF","who"
"18530","Prairie Strips",45.4732510288066,"NODF","who"
"18531","Prairie Strips",18.5185185185185,"NODF","gut"
"18532","Prairie Strips",43.9417989417989,"NODF","gut"
"18533","Prairie Strips",56.3888888888889,"NODF","sme"
"18534","Prairie Strips",37.0682730923695,"NODF","sme"
"18535","Prairie Strips",19.0789473684211,"NODF","smi"
"18536","Prairie Strips",46.6666666666667,"NODF","smi"
"18537","Prairie Strips",17.5,"NODF","sto"
"18538","Prairie Strips",40.4016064257028,"NODF","sto"
"18539","Prairie Strips",0,"NODF","who"
"18540","Prairie Strips",13.3333333333333,"NODF","who"
"18541","Prairie Strips",25.5102040816327,"NODF","gut"
"18542","Prairie Strips",44.5578231292517,"NODF","gut"
"18543","Prairie Strips",19.3548387096774,"NODF","sme"
"18544","Prairie Strips",41.6666666666667,"NODF","sme"
"18545","Prairie Strips",33.0555555555556,"NODF","smi"
"18546","Prairie Strips",31.3953488372093,"NODF","smi"
"18547","Prairie Strips",30.3030303030303,"NODF","sto"
"18548","Prairie Strips",29.7619047619048,"NODF","sto"
"18549","Prairie Strips",12.7906976744186,"NODF","who"
"18550","Prairie Strips",35.5022831050228,"NODF","who"
"18551","Prairie Strips",33.1296296296296,"NODF","gut"
"18552","Prairie Strips",31.6326530612245,"NODF","gut"
"18553","Prairie Strips",35.6481481481482,"NODF","sme"
"18554","Prairie Strips",41.0852713178295,"NODF","sme"
"18555","Prairie Strips",36.6666666666667,"NODF","smi"
"18556","Prairie Strips",52.6984126984127,"NODF","smi"
"18557","Prairie Strips",18.6046511627907,"NODF","sto"
"18558","Prairie Strips",34.6938775510204,"NODF","sto"
"18559","Prairie Strips",39.6825396825397,"NODF","who"
"18560","Prairie Strips",37.1481481481481,"NODF","who"
"18561","Prairie Strips",20,"NODF","gut"
"18562","Prairie Strips",25.4545454545455,"NODF","gut"
"18563","Prairie Strips",33.5616438356164,"NODF","sme"
"18564","Prairie Strips",45.8333333333333,"NODF","sme"
"18565","Prairie Strips",42.1296296296296,"NODF","smi"
"18566","Prairie Strips",34.5833333333333,"NODF","smi"
"18567","Prairie Strips",50,"NODF","sto"
"18568","Prairie Strips",30.7692307692308,"NODF","sto"
"18569","Prairie Strips",46.8954248366013,"NODF","who"
"18570","Prairie Strips",32.85140562249,"NODF","who"
"18571","Prairie Strips",6.45161290322581,"NODF","gut"
"18572","Prairie Strips",33.3333333333333,"NODF","gut"
"18573","Prairie Strips",58.4523809523809,"NODF","sme"
"18574","Prairie Strips",50.234375,"NODF","sme"
"18575","Prairie Strips",32.2916666666667,"NODF","smi"
"18576","Prairie Strips",18.6746987951807,"NODF","smi"
"18577","Prairie Strips",11.1111111111111,"NODF","sto"
"18578","Prairie Strips",42.4479166666667,"NODF","sto"
"18579","Prairie Strips",48.989898989899,"NODF","who"
"18580","Prairie Strips",46.9230769230769,"NODF","who"
"18581","Prairie Strips",29.4238683127572,"NODF","gut"
"18582","Prairie Strips",53.0994152046784,"NODF","gut"
"18583","Prairie Strips",21.6666666666667,"NODF","sme"
"18584","Prairie Strips",20.4545454545455,"NODF","sme"
"18585","Prairie Strips",45.3488372093023,"NODF","smi"
"18586","Prairie Strips",33.5526315789474,"NODF","smi"
"18587","Prairie Strips",11.8421052631579,"NODF","sto"
"18588","Prairie Strips",25.9259259259259,"NODF","sto"
"18589","Prairie Strips",38.8157894736842,"NODF","who"
"18590","Prairie Strips",53.3333333333333,"NODF","who"
"18591","Prairie Strips",33.2236842105263,"NODF","gut"
"18592","Prairie Strips",23.2558139534884,"NODF","gut"
"18593","Prairie Strips",25.3939393939394,"NODF","sme"
"18594","Prairie Strips",28.6616161616162,"NODF","sme"
"18595","Prairie Strips",15.5555555555556,"NODF","smi"
"18596","Prairie Strips",53.1868131868132,"NODF","smi"
"18597","Prairie Strips",55.5555555555556,"NODF","sto"
"18598","Prairie Strips",13.6986301369863,"NODF","sto"
"18599","Prairie Strips",30.2325581395349,"NODF","who"
"18600","Prairie Strips",41.5789473684211,"NODF","who"
"18601","Prairie Strips",30,"NODF","gut"
"18602","Prairie Strips",51.6414141414141,"NODF","gut"
"18603","Prairie Strips",43.8644688644689,"NODF","sme"
"18604","Prairie Strips",20.1086956521739,"NODF","sme"
"18605","Prairie Strips",51.2061403508772,"NODF","smi"
"18606","Prairie Strips",38.55,"NODF","smi"
"18607","Prairie Strips",24.4897959183673,"NODF","sto"
"18608","Prairie Strips",55.5555555555556,"NODF","sto"
"18609","Prairie Strips",21.9387755102041,"NODF","who"
"18610","Prairie Strips",41.0606060606061,"NODF","who"
"18611","Prairie Strips",53.7719298245614,"NODF","gut"
"18612","Prairie Strips",28.7037037037037,"NODF","gut"
"18613","Prairie Strips",31.0077519379845,"NODF","sme"
"18614","Prairie Strips",5.83333333333333,"NODF","sme"
"18615","Prairie Strips",0,"NODF","smi"
"18616","Prairie Strips",28.9473684210526,"NODF","smi"
"18617","Prairie Strips",27.020202020202,"NODF","sto"
"18618","Prairie Strips",41.1111111111111,"NODF","sto"
"18619","Prairie Strips",32.3443223443223,"NODF","who"
"18620","Prairie Strips",31.9444444444444,"NODF","who"
"18621","Prairie Strips",31.25,"NODF","gut"
"18622","Prairie Strips",40.6666666666667,"NODF","gut"
"18623","Prairie Strips",50.5847953216374,"NODF","sme"
"18624","Prairie Strips",46.522633744856,"NODF","sme"
"18625","Prairie Strips",41.0353535353535,"NODF","smi"
"18626","Prairie Strips",21.969696969697,"NODF","smi"
"18627","Prairie Strips",36.5497076023392,"NODF","sto"
"18628","Prairie Strips",19.7674418604651,"NODF","sto"
"18629","Prairie Strips",20.8333333333333,"NODF","who"
"18630","Prairie Strips",51.9607843137255,"NODF","who"
"18631","Prairie Strips",57.4561403508772,"NODF","gut"
"18632","Prairie Strips",33.3333333333333,"NODF","gut"
"18633","Prairie Strips",25,"NODF","sme"
"18634","Prairie Strips",38.3928571428571,"NODF","sme"
"18635","Prairie Strips",37.8787878787879,"NODF","smi"
"18636","Prairie Strips",41.8604651162791,"NODF","smi"
"18637","Prairie Strips",4.60526315789474,"NODF","sto"
"18638","Prairie Strips",52.2135416666667,"NODF","sto"
"18639","Prairie Strips",28.8571428571429,"NODF","who"
"18640","Prairie Strips",45.1666666666667,"NODF","who"
"18641","Prairie Strips",0,"NODF","gut"
"18642","Prairie Strips",43.1547619047619,"NODF","gut"
"18643","Prairie Strips",25,"NODF","sme"
"18644","Prairie Strips",45.2631578947368,"NODF","sme"
"18645","Prairie Strips",8,"NODF","smi"
"18646","Prairie Strips",40.047619047619,"NODF","smi"
"18647","Prairie Strips",25.8928571428571,"NODF","sto"
"18648","Prairie Strips",0,"NODF","sto"
"18649","Prairie Strips",26.9736842105263,"NODF","who"
"18650","Prairie Strips",34.375,"NODF","who"
"18651","Prairie Strips",43.631669535284,"NODF","gut"
"18652","Prairie Strips",34.7222222222222,"NODF","gut"
"18653","Prairie Strips",39.4444444444444,"NODF","sme"
"18654","Prairie Strips",40.625,"NODF","sme"
"18655","Prairie Strips",56.7829457364341,"NODF","smi"
"18656","Prairie Strips",20.3703703703704,"NODF","smi"
"18657","Prairie Strips",17.5824175824176,"NODF","sto"
"18658","Prairie Strips",43.9814814814815,"NODF","sto"
"18659","Prairie Strips",23.989898989899,"NODF","who"
"18660","Prairie Strips",38.6446886446886,"NODF","who"
"18661","Prairie Strips",18.3333333333333,"NODF","gut"
"18662","Prairie Strips",57.1428571428571,"NODF","gut"
"18663","Prairie Strips",55.0913242009132,"NODF","sme"
"18664","Prairie Strips",14.9122807017544,"NODF","sme"
"18665","Prairie Strips",35.7142857142857,"NODF","smi"
"18666","Prairie Strips",43.7134502923977,"NODF","smi"
"18667","Prairie Strips",41.566265060241,"NODF","sto"
"18668","Prairie Strips",30.3212851405623,"NODF","sto"
"18669","Prairie Strips",49.1228070175439,"NODF","who"
"18670","Prairie Strips",37.2093023255814,"NODF","who"
"18671","Prairie Strips",67.719298245614,"NODF","gut"
"18672","Prairie Strips",52.4725274725275,"NODF","gut"
"18673","Prairie Strips",40.5555555555556,"NODF","sme"
"18674","Prairie Strips",30.8166666666667,"NODF","sme"
"18675","Prairie Strips",23.3333333333333,"NODF","smi"
"18676","Prairie Strips",26.6064257028112,"NODF","smi"
"18677","Prairie Strips",38.3333333333333,"NODF","sto"
"18678","Prairie Strips",44.0476190476191,"NODF","sto"
"18679","Prairie Strips",58.9259259259259,"NODF","who"
"18680","Prairie Strips",30,"NODF","who"
"18681","Prairie Strips",24.6913580246914,"NODF","gut"
"18682","Prairie Strips",17.1345029239766,"NODF","gut"
"18683","Prairie Strips",22.093023255814,"NODF","sme"
"18684","Prairie Strips",34.3023255813954,"NODF","sme"
"18685","Prairie Strips",38.9558232931727,"NODF","smi"
"18686","Prairie Strips",39.4444444444444,"NODF","smi"
"18687","Prairie Strips",29.1666666666667,"NODF","sto"
"18688","Prairie Strips",25.1461988304094,"NODF","sto"
"18689","Prairie Strips",26.5567765567766,"NODF","who"
"18690","Prairie Strips",16,"NODF","who"
"18691","Prairie Strips",10,"NODF","gut"
"18692","Prairie Strips",28.1893004115226,"NODF","gut"
"18693","Prairie Strips",28.9115646258503,"NODF","sme"
"18694","Prairie Strips",18.4615384615385,"NODF","sme"
"18695","Prairie Strips",29.7619047619048,"NODF","smi"
"18696","Prairie Strips",34.4444444444444,"NODF","smi"
"18697","Prairie Strips",67.5,"NODF","sto"
"18698","Prairie Strips",29.1666666666667,"NODF","sto"
"18699","Prairie Strips",24.2857142857143,"NODF","who"
"18700","Prairie Strips",41.3978494623656,"NODF","who"
"18701","Prairie Strips",42.6940639269406,"NODF","gut"
"18702","Prairie Strips",33.5294117647059,"NODF","gut"
"18703","Prairie Strips",42.1768707482993,"NODF","sme"
"18704","Prairie Strips",53.2407407407407,"NODF","sme"
"18705","Prairie Strips",24.0963855421687,"NODF","smi"
"18706","Prairie Strips",11.2903225806452,"NODF","smi"
"18707","Prairie Strips",31.25,"NODF","sto"
"18708","Prairie Strips",56.5476190476191,"NODF","sto"
"18709","Prairie Strips",26.1904761904762,"NODF","who"
"18710","Prairie Strips",50.5102040816327,"NODF","who"
"18711","Prairie Strips",42,"NODF","gut"
"18712","Prairie Strips",41.4728682170543,"NODF","gut"
"18713","Prairie Strips",25.9259259259259,"NODF","sme"
"18714","Prairie Strips",39.2857142857143,"NODF","sme"
"18715","Prairie Strips",30.0595238095238,"NODF","smi"
"18716","Prairie Strips",29.6296296296296,"NODF","smi"
"18717","Prairie Strips",30,"NODF","sto"
"18718","Prairie Strips",18.1818181818182,"NODF","sto"
"18719","Prairie Strips",40.9444444444444,"NODF","who"
"18720","Prairie Strips",29.0322580645161,"NODF","who"
"18721","Prairie Strips",20.4301075268817,"NODF","gut"
"18722","Prairie Strips",42.8571428571429,"NODF","gut"
"18723","Prairie Strips",35.6060606060606,"NODF","sme"
"18724","Prairie Strips",8,"NODF","sme"
"18725","Prairie Strips",10.9375,"NODF","smi"
"18726","Prairie Strips",62.8654970760234,"NODF","smi"
"18727","Prairie Strips",43.956043956044,"NODF","sto"
"18728","Prairie Strips",50.9090909090909,"NODF","sto"
"18729","Prairie Strips",41.2333333333333,"NODF","who"
"18730","Prairie Strips",36.1111111111111,"NODF","who"
"18731","Prairie Strips",35.0340136054422,"NODF","gut"
"18732","Prairie Strips",25.8064516129032,"NODF","gut"
"18733","Prairie Strips",26.0416666666667,"NODF","sme"
"18734","Prairie Strips",22.6027397260274,"NODF","sme"
"18735","Prairie Strips",40.6976744186046,"NODF","smi"
"18736","Prairie Strips",46.7741935483871,"NODF","smi"
"18737","Prairie Strips",69.4382440476191,"NODF","sto"
"18738","Prairie Strips",29.5454545454545,"NODF","sto"
"18739","Prairie Strips",36.9444444444444,"NODF","who"
"18740","Prairie Strips",40.3100775193798,"NODF","who"
"18741","Prairie Strips",35.1851851851852,"NODF","gut"
"18742","Prairie Strips",42.1717171717172,"NODF","gut"
"18743","Prairie Strips",30.0653594771242,"NODF","sme"
"18744","Prairie Strips",21.4285714285714,"NODF","sme"
"18745","Prairie Strips",30.5555555555556,"NODF","smi"
"18746","Prairie Strips",51.6339869281046,"NODF","smi"
"18747","Prairie Strips",32.1637426900585,"NODF","sto"
"18748","Prairie Strips",39.537037037037,"NODF","sto"
"18749","Prairie Strips",35.4838709677419,"NODF","who"
"18750","Prairie Strips",0,"NODF","who"
"18751","Prairie Strips",40.8571428571429,"NODF","gut"
"18752","Prairie Strips",56.0493827160494,"NODF","gut"
"18753","Prairie Strips",34.6064814814815,"NODF","sme"
"18754","Prairie Strips",29.1666666666667,"NODF","sme"
"18755","Prairie Strips",26.1904761904762,"NODF","smi"
"18756","Prairie Strips",29.320987654321,"NODF","smi"
"18757","Prairie Strips",19.2982456140351,"NODF","sto"
"18758","Prairie Strips",18.6046511627907,"NODF","sto"
"18759","Prairie Strips",20,"NODF","who"
"18760","Prairie Strips",28.8812785388128,"NODF","who"
"18761","Prairie Strips",29.0849673202614,"NODF","gut"
"18762","Prairie Strips",46.4285714285714,"NODF","gut"
"18763","Prairie Strips",23.6363636363636,"NODF","sme"
"18764","Prairie Strips",16.6666666666667,"NODF","sme"
"18765","Prairie Strips",39.5833333333333,"NODF","smi"
"18766","Prairie Strips",12.5,"NODF","smi"
"18767","Prairie Strips",47.265625,"NODF","sto"
"18768","Prairie Strips",16.6666666666667,"NODF","sto"
"18769","Prairie Strips",13.3928571428571,"NODF","who"
"18770","Prairie Strips",18.4210526315789,"NODF","who"
"18771","Prairie Strips",37.8787878787879,"NODF","gut"
"18772","Prairie Strips",32.3493975903614,"NODF","gut"
"18773","Prairie Strips",40.2777777777778,"NODF","sme"
"18774","Prairie Strips",12.962962962963,"NODF","sme"
"18775","Prairie Strips",16,"NODF","smi"
"18776","Prairie Strips",42.4731182795699,"NODF","smi"
"18777","Prairie Strips",31.25,"NODF","sto"
"18778","Prairie Strips",41.7824074074074,"NODF","sto"
"18779","Prairie Strips",27.2727272727273,"NODF","who"
"18780","Prairie Strips",35.4166666666667,"NODF","who"
"18781","Prairie Strips",8.33333333333333,"NODF","gut"
"18782","Prairie Strips",33.7121212121212,"NODF","gut"
"18783","Prairie Strips",0,"NODF","sme"
"18784","Prairie Strips",20,"NODF","sme"
"18785","Prairie Strips",49.4623655913979,"NODF","smi"
"18786","Prairie Strips",40.9166666666667,"NODF","smi"
"18787","Prairie Strips",57.6530612244898,"NODF","sto"
"18788","Prairie Strips",16.8333333333333,"NODF","sto"
"18789","Prairie Strips",24.5614035087719,"NODF","who"
"18790","Prairie Strips",34.1025641025641,"NODF","who"
"18791","Prairie Strips",32.4074074074074,"NODF","gut"
"18792","Prairie Strips",31.6993464052288,"NODF","gut"
"18793","Prairie Strips",19.2307692307692,"NODF","sme"
"18794","Prairie Strips",19.3548387096774,"NODF","sme"
"18795","Prairie Strips",40.7818930041152,"NODF","smi"
"18796","Prairie Strips",37.2093023255814,"NODF","smi"
"18797","Prairie Strips",33.7719298245614,"NODF","sto"
"18798","Prairie Strips",58.7448559670782,"NODF","sto"
"18799","Prairie Strips",32.1637426900585,"NODF","who"
"18800","Prairie Strips",33.1845238095238,"NODF","who"
"18801","Prairie Strips",31.8681318681319,"NODF","gut"
"18802","Prairie Strips",19.3548387096774,"NODF","gut"
"18803","Prairie Strips",21.9178082191781,"NODF","sme"
"18804","Prairie Strips",37.8666666666667,"NODF","sme"
"18805","Prairie Strips",22.9166666666667,"NODF","smi"
"18806","Prairie Strips",41.9354838709677,"NODF","smi"
"18807","Prairie Strips",53.6746987951807,"NODF","sto"
"18808","Prairie Strips",30.1282051282051,"NODF","sto"
"18809","Prairie Strips",44.1653584510727,"NODF","who"
"18810","Prairie Strips",22.5,"NODF","who"
"18811","Prairie Strips",30.6451612903226,"NODF","gut"
"18812","Prairie Strips",29.5454545454545,"NODF","gut"
"18813","Prairie Strips",11.4035087719298,"NODF","sme"
"18814","Prairie Strips",28.7878787878788,"NODF","sme"
"18815","Prairie Strips",11.1111111111111,"NODF","smi"
"18816","Prairie Strips",27.6041666666667,"NODF","smi"
"18817","Prairie Strips",39.5348837209302,"NODF","sto"
"18818","Prairie Strips",41.3809523809524,"NODF","sto"
"18819","Prairie Strips",56.9727891156463,"NODF","who"
"18820","Prairie Strips",38.7096774193548,"NODF","who"
"18821","Prairie Strips",24.2857142857143,"NODF","gut"
"18822","Prairie Strips",32.7160493827161,"NODF","gut"
"18823","Prairie Strips",55.7407407407407,"NODF","sme"
